wine_name,viticultural_domain,grape_variety,region,wine_style,alcohol_content,allergens,food_pairing,wine_rating,wine_rating_nb,bottle_price,bottle_image,wine_url
Crémant de Bourgogne N.V.,Laurent Perrachon,100 % Chardonnay,France / Bourgogne / Crémant de Bourgogne,,12 %,sulfites,,"4,2",148 notes,€15,https://images.vivino.com/thumbs/jh3e88vDSSCxTlkmxkft2w_pb_x600.png,https://www.vivino.com/FR/fr/perrachon-cremant-de-bourgogne/w/5479564?price_id=21886936
Mâcon-Vergisson Les Rochers 2018,Domaine Guerrin & Fils,100 % Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Vergisson,Burgundy Mâconnais White,13.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,2",71 notes,"€13,43",https://images.vivino.com/thumbs/xCqISqB-RhWlQL0j41scBg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-guerrin-fils-macon-vergisson-les-rochers/w/1393390?year=2018&price_id=25319495
Domaine de L'Abbaye du Petit Quincy Bourgogne Tonnerre 2018,Dominique Gruhier,100 % Chardonnay,France / Bourgogne / Tonnerre,Vin blanc de Bourgogne,,sulfites,"Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,2",65 notes,"€14,90",https://images.vivino.com/thumbs/w2RNIS-vTueEwohuQvFAFA_pb_x600.png,https://www.vivino.com/FR/fr/dominique-gruhier-domaine-de-l-abbaye-du-petit-quincy-bourgogne-tonnerre/w/1343403?year=2018&price_id=24509901
Mâcon 'Aux Bois d'Allier' 2019,Domaine Cordier Père & Fils,Chardonnay,France / Bourgogne / Mâconnais / Mâcon,Burgundy Mâconnais White,13.5 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,2",51 notes,€15,https://images.vivino.com/thumbs/fmiaZJyhSry68LBL5ILxrA_pb_x600.png,https://www.vivino.com/FR/fr/fr-domaine-cordier-pere-fils-macon-aux-bois-d-allier/w/1321931?year=2019&price_id=25065961
Domaine de L'Abbaye du Petit Quincy Bourgogne Épineuil 2018,Dominique Gruhier,100 % Pinot Noir,France / Bourgogne / Tonnerre / Bourgogne Epineuil,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","4,1",377 notes,"€14,70",https://images.vivino.com/thumbs/X_cB0YDaQ72Q6MiZuKYLrQ_pb_x600.png,https://www.vivino.com/FR/fr/dominique-gruhier-domaine-de-l-abbaye-du-petit-quincy-bourgogne-epineuil/w/2726504?year=2018&price_id=23798070
Chablis 2018,Domaine Passy le Clou,Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,1",42 notes,"€14,70",https://images.vivino.com/thumbs/YLvOVbb4SjKTAEkWh2lIHQ_pb_x600.png,https://www.vivino.com/FR/fr/domaine-passy-le-clou-chablis/w/6521522?year=2018&price_id=23742681
Bourgogne Chardonnay 2018,Domaine Faiveley,100 % Chardonnay,France / Bourgogne,Vin blanc de Bourgogne,13 %,"sulfites, allergènes (œufs), allergènes (lait)","Pâtes,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle,Viande assaisonnée","4,0",386 notes,"€15,30",https://images.vivino.com/thumbs/ynUZEhrXR8mbGzBu4skeYg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-faiveley-bourgogne-chardonnay/w/1157013?year=2018&price_id=23088325
Petit Chablis 2018,Domaine des Marronniers,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",273 notes,"€12,95",https://images.vivino.com/thumbs/FVm1bVjhRluQ68PC4QSXaw_pb_x600.png,https://www.vivino.com/FR/fr/marronniers-petit-chablis/w/1708116?year=2018&price_id=24110059
Chablis 2019,Alain Gautheron,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",241 notes,€15,https://images.vivino.com/thumbs/KAPyl1dDSBmrx5PB_pEdVg_pb_x600.png,https://www.vivino.com/FR/fr/alain-gautheron-chablis/w/1202040?year=2019&price_id=23382567
Petit Chablis 2018,Isabelle et Denis Pommier,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",226 notes,€10,https://images.vivino.com/thumbs/baanFAJSRDaKpR0_qAjDCQ_pb_x600.png,https://www.vivino.com/FR/fr/denis-pommier-petit-chablis/w/1163769?year=2018&price_id=24694486
Saint-Véran 2018,Louis Jadot,100 % Chardonnay,France / Bourgogne / Mâconnais / Saint-Véran,Burgundy Mâconnais White,13 %,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",162 notes,€16,https://images.vivino.com/thumbs/iGEU6wR6T8uH171b6ycC6A_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-saint-veran/w/3027?year=2018&price_id=25944512
Lieu Dit Château London Mâcon-Igé 2017,Prosper Maufoux,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Igé,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",73 notes,€12,https://images.vivino.com/thumbs/YTpC9sVjSCOfhIYmcXGQYw_pb_x600.png,https://www.vivino.com/FR/fr/prosper-maufoux-lieu-dit-chateau-london-macon-ige/w/4522671?year=2017&price_id=26214097
Chablis 2020,Domaine Gueguen,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",47 notes,€16,https://images.vivino.com/thumbs/Fff0i9X9Q4u3ksCT1NoGEw_pb_x600.png,https://www.vivino.com/FR/fr/gueguen-chablis/w/2628577?year=2020&price_id=25219829
Mâcon-Uchizy 2020,Gérald Talmard,Chardonnay,France / Bourgogne / Mâconnais / Mâcon / Mâcon-Uchizy,Burgundy Mâconnais White,,sulfites,"Pâtes,Végétarien,Viande assaisonnée","4,0",37 notes,"€8,10",https://images.vivino.com/thumbs/ozLzqSLZT-2gy-YnLiDp5w_pb_x600.png,https://www.vivino.com/FR/fr/gerald-talmard-macon-uchizy/w/9004240?year=2020&price_id=25377091
Petit Chablis 2018,Domaine Christophe Camu,Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","4,0",27 notes,"€13,90",https://images.vivino.com/thumbs/zRXEoRwLR5S92J-EsSHDWA_pb_x600.png,https://www.vivino.com/FR/fr/christophe-camu-petit-chablis/w/1707511?year=2018&price_id=21800705
Chablis 2018,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",2229 notes,"€15,85",https://images.vivino.com/thumbs/4pDrp1dPRVSbZhL29IIGdw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-chablis/w/2824?year=2018&price_id=22484251
Chablis 2019,Louis Jadot,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),13 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",1211 notes,"€15,84",https://images.vivino.com/thumbs/4pDrp1dPRVSbZhL29IIGdw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-chablis/w/2824?year=2019&price_id=24329625
Chablis 2018,Domaine du Colombier,100 % Chardonnay,France / Bourgogne / Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",684 notes,€13,https://images.vivino.com/thumbs/-Ep4ytZpRLC3lmqWNsMNFg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-du-colombier-chablis-premier-cru-chablis/w/1150239?year=2018&price_id=20459184
Bourgogne Couvent des Jacobins 2019,Louis Jadot,100 % Pinot Noir,France / Bourgogne,Vin rouge de Bourgogne,13 %,"sulfites, allergènes (œufs), allergènes (lait)","Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,9",671 notes,"€12,52",https://images.vivino.com/thumbs/rGP_6ONCSRClwOj_HBFdtw_pb_x600.png,https://www.vivino.com/FR/fr/louis-jadot-bourgogne-couvent-des-jacobins/w/2816?year=2019&price_id=24060058
Crémant de Bourgogne Blanc de Blancs Brut N.V.,Martine et Pierre Marie Chermette - Domaine du Vissoux,100 % Chardonnay,France / Bourgogne / Crémant de Bourgogne,Crémant (France),12 %,sulfites,"Crustacés,Volaille,Apéritif et snacks,Poisson maigre,Apéritif","3,9",517 notes,"€14,90",https://images.vivino.com/thumbs/rpvcApA5SxmUAeUCrafHzg_pb_x600.png,https://www.vivino.com/FR/fr/domaine-du-vissoux-cremant-de-bourgogne-blanc-de-blancs-brut/w/1240853?price_id=11070951
Petit Chablis 2019,Louis Moreau,100 % Chardonnay,France / Bourgogne / Chablis / Petit Chablis,Chablis (Bourgogne),12.5 %,sulfites,"Porc,Poisson gras (saumon, thon, etc.),Crustacés,Fromage doux et à pâte molle","3,9",277 notes,€15,https://images.vivino.com/thumbs/NAx3LfiQQo6Y80HKbZqRuQ_pb_x600.png,https://www.vivino.com/FR/fr/louis-moreau-petit-chablis/w/779317?year=2019&price_id=24759266
Bourgogne Gamay Vieilles Vignes 2016,Domaine Labruyère,100 % Gamay,France / Bourgogne,Vin rouge de Bourgogne,13 %,sulfites,"Bœuf,Veau,Gibier (cerf, chevreuil),Volaille","3,9",158 notes,"€13,95",https://images.vivino.com/thumbs/C0uGGczXQJ2X3BYROwrRew_pb_x600.png,https://www.vivino.com/FR/fr/labruyere-bourgogne-gamay-vieilles-vignes-bourgogne/w/6251562?year=2016&price_id=25038101
